날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만)
2017.07.05,2388.35,7.83,0.33%,329425,4653208
2017.07.06,2387.81,0.54,-0.02%,297829,4690617
2017.07.07,2379.87,7.94,-0.33%,302786,4972053
2017.07.10,2382.1,2.23,0.09%,277355,4852245
2017.07.11,2396,13.9,0.58%,280579,4828173
2017.07.12,2391.77,4.23,-0.18%,262780,4909110
2017.07.13,2409.49,17.72,0.74%,284880,6039044
2017.07.14,2414.63,5.14,0.21%,227567,4923178
2017.07.17,2425.1,10.47,0.43%,252165,4819688
2017.07.18,2426.04,0.94,0.04%,255640,4599598
2017.07.19,2429.94,3.9,0.16%,266820,5024489
2017.07.20,2441.84,11.9,0.49%,246842,5273110
2017.07.21,2450.06,8.22,0.34%,246051,5106113
2017.07.24,2451.53,1.47,0.06%,230299,4552116
2017.07.25,2439.9,11.63,-0.47%,270546,5268495
2017.07.26,2434.51,5.39,-0.22%,332744,6381831
2017.07.27,2443.24,8.73,0.36%,421732,5328785
2017.07.28,2400.99,42.25,-1.73%,310472,6880945
2017.07.31,2402.71,1.72,0.07%,273947,5573466
2017.08.01,2422.96,20.25,0.84%,259277,5507918
2017.08.02,2427.63,4.67,0.19%,258750,5245737
2017.08.03,2386.85,40.78,-1.68%,299959,6426455
2017.08.04,2395.45,8.6,0.36%,270613,4964700
2017.08.07,2398.75,3.3,0.14%,240716,4347068
2017.08.08,2394.73,4.02,-0.17%,243521,4509317
2017.08.09,2368.39,26.34,-1.10%,231141,4626754
2017.08.10,2359.47,8.92,-0.38%,277743,6170553
2017.08.11,2319.71,39.76,-1.69%,301884,6110194
2017.08.14,2334.22,14.51,0.63%,209149,4567658
2017.08.16,2348.26,14.04,0.60%,265554,6083455
2017.08.17,2361.67,13.41,0.57%,226209,4423177
2017.08.18,2358.37,3.3,-0.14%,195804,4052539
2017.08.21,2355,3.37,-0.14%,204501,3753501
2017.08.22,2365.33,10.33,0.44%,245756,3827475
2017.08.23,2366.4,1.07,0.05%,225089,3918332
2017.08.24,2375.84,9.44,0.40%,290542,4586970
2017.08.25,2378.51,2.67,0.11%,337558,4550255
2017.08.28,2370.3,8.21,-0.35%,224349,3938851
2017.08.29,2364.74,5.56,-0.23%,215209,4292590
2017.08.30,2372.29,7.55,0.32%,302139,4508976
2017.08.31,2363.19,9.1,-0.38%,256744,5118788
2017.09.01,2357.69,5.5,-0.23%,277015,4668562
2017.09.04,2329.65,28.04,-1.19%,244705,4323320
2017.09.05,2326.62,3.03,-0.13%,317086,4761011
2017.09.06,2319.82,6.8,-0.29%,248852,5219225
2017.09.07,2346.19,26.37,1.14%,274281,4625003
2017.09.08,2343.72,2.47,-0.11%,210760,4494042
2017.09.11,2359.08,15.36,0.66%,238775,4830722
2017.09.12,2365.47,6.39,0.27%,328353,4858629
2017.09.13,2360.18,5.29,-0.22%,315200,5885366
2017.09.14,2377.66,17.48,0.74%,283106,6382132
2017.09.15,2386.07,8.41,0.35%,290977,6169399
2017.09.18,2418.21,32.14,1.35%,267261,5129632
2017.09.19,2416.05,2.16,-0.09%,248446,5242241
2017.09.20,2412.2,3.85,-0.16%,294688,5533487
2017.09.21,2406.5,5.7,-0.24%,323029,5255344
2017.09.22,2388.71,17.79,-0.74%,321157,6007316
2017.09.25,2380.4,8.31,-0.35%,325051,4756942
2017.09.26,2374.32,6.08,-0.26%,297258,5648192
2017.09.27,2372.57,1.75,-0.07%,197422,4329844
2017.09.28,2373.14,0.57,0.02%,190736,4536118
2017.09.29,2394.47,21.33,0.90%,181312,4523889
2017.10.10,2433.81,39.34,1.64%,218207,7257927
2017.10.11,2458.16,24.35,1.00%,193818,5661122
2017.10.12,2474.76,16.6,0.68%,254043,6204977
2017.10.13,2473.62,1.14,-0.05%,233435,6777388
2017.10.16,2480.05,6.43,0.26%,222635,6091173
2017.10.17,2484.37,4.32,0.17%,193143,5235998
2017.10.18,2482.91,1.46,-0.06%,241172,5720798
2017.10.19,2473.06,9.85,-0.40%,232520,6747041
2017.10.20,2489.54,16.48,0.67%,310206,5583132
2017.10.23,2490.05,0.51,0.02%,271631,4700464
2017.10.24,2490.49,0.44,0.02%,229390,4555677
2017.10.25,2492.5,2.01,0.08%,592530,5030066
2017.10.26,2480.63,11.87,-0.48%,638066,7053012
2017.10.27,2496.63,16,0.64%,504558,6248403
2017.10.30,2501.93,5.3,0.21%,338226,6931243
2017.10.31,2523.43,21.5,0.86%,310039,7613000
2017.11.01,2556.47,33.04,1.31%,356826,7391095
2017.11.02,2546.36,10.11,-0.40%,521833,6152236
2017.11.03,2557.97,11.61,0.46%,289688,5446755
2017.11.06,2549.41,8.56,-0.33%,218320,5370842
2017.11.07,2545.44,3.97,-0.16%,228782,5256211
2017.11.08,2552.4,6.96,0.27%,264089,5534995
2017.11.09,2550.57,1.83,-0.07%,285527,6834485
2017.11.10,2542.95,7.62,-0.30%,287091,5374842
2017.11.13,2530.35,12.6,-0.50%,263652,6005419
2017.11.14,2526.64,3.71,-0.15%,283653,5672080
2017.11.15,2518.25,8.39,-0.33%,394260,7195457
2017.11.16,2534.79,16.54,0.66%,296914,5544638
2017.11.17,2533.99,0.8,-0.03%,355217,6464810
2017.11.20,2527.67,6.32,-0.25%,400757,5802109
2017.11.21,2530.7,3.03,0.12%,456780,6539752
2017.11.22,2540.51,9.81,0.39%,477887,7050941
2017.11.23,2537.15,3.36,-0.13%,375211,5018884
2017.11.24,2544.33,7.18,0.28%,294322,4398371
2017.11.27,2507.81,36.52,-1.44%,282245,6200078
2017.11.28,2514.19,6.38,0.25%,335316,6153942
2017.11.29,2512.9,1.29,-0.05%,295469,5147961
2017.11.30,2476.37,36.53,-1.45%,333737,9128523
2017.12.01,2475.41,0.96,-0.04%,284017,5441949
2017.12.04,2501.67,26.26,1.06%,320891,5931824
2017.12.05,2510.12,8.45,0.34%,387710,5825907
2017.12.06,2474.37,35.75,-1.42%,503764,6566485
2017.12.07,2461.98,12.39,-0.50%,396854,6032323
2017.12.08,2464,2.02,0.08%,401810,5322978
2017.12.11,2471.49,7.49,0.30%,237574,4535716
2017.12.12,2461,10.49,-0.42%,276731,5067775
2017.12.13,2480.55,19.55,0.79%,251104,5028083
2017.12.14,2469.48,11.07,-0.45%,313627,8117024
2017.12.15,2482.07,12.59,0.51%,334880,5827241
2017.12.18,2481.88,0.19,-0.01%,320277,4386470
2017.12.19,2478.53,3.35,-0.13%,304891,5077282
2017.12.20,2472.37,6.16,-0.25%,228367,4598623
2017.12.21,2429.83,42.54,-1.72%,244206,5244389
2017.12.22,2440.54,10.71,0.44%,221607,4412457
2017.12.26,2427.34,13.2,-0.54%,222124,5565594
2017.12.27,2436.67,9.33,0.38%,191010,4780622
2017.12.28,2467.49,30.82,1.26%,194553,4137201
2018.01.02,2479.65,12.16,0.49%,230256,4600669
2018.01.03,2486.35,6.7,0.27%,327335,5961915
2018.01.04,2466.46,19.89,-0.80%,329629,6793010
2018.01.05,2497.52,31.06,1.26%,305294,6157141
2018.01.08,2513.28,15.76,0.63%,308890,6272255
2018.01.09,2510.23,3.05,-0.12%,369650,7232666
2018.01.10,2499.75,10.48,-0.42%,440082,8436244
2018.01.11,2487.91,11.84,-0.47%,419706,7524032
2018.01.12,2496.42,8.51,0.34%,432737,8633370
2018.01.15,2503.73,7.31,0.29%,400665,6049290
2018.01.16,2521.74,18.01,0.72%,337355,6468572
2018.01.17,2515.43,6.31,-0.25%,333496,6213890
2018.01.18,2515.81,0.38,0.02%,329221,6337020
2018.01.19,2520.26,4.45,0.18%,345210,6144398
2018.01.22,2502.11,18.15,-0.72%,311820,6071963
2018.01.23,2536.6,34.49,1.38%,366447,6721970
2018.01.24,2538,1.4,0.06%,362339,6553061
2018.01.25,2562.23,24.23,0.95%,507159,7681633
2018.01.26,2574.76,12.53,0.49%,395997,7560744
2018.01.29,2598.19,23.43,0.91%,433309,7801187
2018.01.30,2567.74,30.45,-1.17%,390163,7718479
2018.01.31,2566.46,1.28,-0.05%,396901,10734828
2018.02.01,2568.54,2.08,0.08%,588190,7778128
2018.02.02,2525.39,43.15,-1.68%,476479,8005598
2018.02.05,2491.75,33.64,-1.33%,438171,7851068
2018.02.06,2453.31,38.44,-1.54%,568137,9287236
2018.02.07,2396.56,56.75,-2.31%,452554,8246544
2018.02.08,2407.62,11.06,0.46%,357642,7118564
2018.02.09,2363.77,43.85,-1.82%,479069,8338662
2018.02.12,2385.38,21.61,0.91%,344787,6418943
2018.02.13,2395.19,9.81,0.41%,417091,7238195
2018.02.14,2421.83,26.64,1.11%,301972,5775035
2018.02.19,2442.82,20.99,0.87%,319304,5762731
2018.02.20,2415.12,27.7,-1.13%,416872,5070518
2018.02.21,2429.65,14.53,0.60%,426468,5965325
2018.02.22,2414.28,15.37,-0.63%,344874,4852354
2018.02.23,2451.52,37.24,1.54%,295960,5252346
2018.02.26,2457.65,6.13,0.25%,312799,5237162
2018.02.27,2456.14,1.51,-0.06%,267033,5529977
2018.02.28,2427.36,28.78,-1.17%,362320,6880404
2018.03.02,2402.16,25.2,-1.04%,313216,5922137
2018.03.05,2375.06,27.1,-1.13%,304709,5661399
2018.03.06,2411.41,36.35,1.53%,395970,6511195
2018.03.07,2401.82,9.59,-0.40%,405847,8021306
2018.03.08,2433.08,31.26,1.30%,390663,8874554
2018.03.09,2459.45,26.37,1.08%,433528,8462303
2018.03.12,2484.12,24.67,1.00%,384438,6461962
2018.03.13,2494.49,10.37,0.42%,345467,7711486
2018.03.14,2486.08,8.41,-0.34%,357035,6258941
2018.03.15,2492.38,6.3,0.25%,338119,5935122
2018.03.16,2493.97,1.59,0.06%,372335,6390764
2018.03.19,2475.03,18.94,-0.76%,471371,5870051
2018.03.20,2485.52,10.49,0.42%,286351,5258085
2018.03.21,2484.97,0.55,-0.02%,391077,5726392
2018.03.22,2496.02,11.05,0.44%,475166,7036668
2018.03.23,2416.76,79.26,-3.18%,452529,7821183
2018.03.26,2437.08,20.32,0.84%,303483,5856428
2018.03.27,2452.06,14.98,0.61%,326893,6193178
2018.03.28,2419.29,32.77,-1.34%,494987,7617202
2018.03.29,2436.37,17.08,0.71%,328350,6778118
2018.03.30,2445.85,9.48,0.39%,390118,6360192
2018.04.02,2444.16,1.69,-0.07%,386502,6606893
2018.04.03,2442.43,1.73,-0.07%,487473,7531078
2018.04.04,2408.06,34.37,-1.41%,544684,7949411
2018.04.05,2437.52,29.46,1.22%,574657,7170620
2018.04.06,2429.58,7.94,-0.33%,446361,6907824
2018.04.09,2444.08,14.5,0.60%,330877,6534322
2018.04.10,2450.74,6.66,0.27%,352614,7394092
2018.04.11,2444.22,6.52,-0.27%,346729,6775187
2018.04.12,2442.71,1.51,-0.06%,436103,8003146
2018.04.13,2455.07,12.36,0.51%,391735,6811500
2018.04.16,2457.49,2.42,0.10%,338976,6081546
2018.04.17,2453.77,3.72,-0.15%,389176,6234284
2018.04.18,2479.98,26.21,1.07%,639823,8073025
2018.04.19,2486.1,6.12,0.25%,718263,9996097
2018.04.20,2476.33,9.77,-0.39%,526134,7714911
2018.04.23,2474.11,2.22,-0.09%,690535,9048399
2018.04.24,2464.14,9.97,-0.40%,519415,8176746
2018.04.25,2448.81,15.33,-0.62%,455297,7193519
2018.04.26,2475.64,26.83,1.10%,514404,7786343
2018.04.27,2492.4,16.76,0.68%,454385,7999045
2018.04.30,2515.38,22.98,0.92%,740489,9339569
2018.05.02,2505.61,9.77,-0.39%,792173,11498794
2018.05.03,2487.25,18.36,-0.73%,595878,7424016
2018.05.04,2461.38,25.87,-1.04%,599881,10607576
2018.05.08,2449.81,11.57,-0.47%,702950,9456696
2018.05.09,2443.98,5.83,-0.24%,581993,8874001
2018.05.10,2464.16,20.18,0.83%,483938,8742520
2018.05.11,2477.71,13.55,0.55%,591109,7433096
2018.05.14,2476.11,1.6,-0.06%,643665,9458107
2018.05.15,2458.54,17.57,-0.71%,701110,9199653
2018.05.16,2459.82,1.28,0.05%,658999,9622626
2018.05.17,2448.45,11.37,-0.46%,588984,8078307
2018.05.18,2460.65,12.2,0.50%,424422,6349266
2018.05.21,2465.57,4.92,0.20%,570415,5970839
2018.05.23,2471.91,6.34,0.26%,746409,9128873
2018.05.24,2466.01,5.9,-0.24%,630651,6674083
2018.05.25,2460.8,5.21,-0.21%,643140,8894027
2018.05.28,2478.96,18.16,0.74%,702198,9746572
2018.05.29,2457.25,21.71,-0.88%,561144,8366204
2018.05.30,2409.03,48.22,-1.96%,565116,8868746
2018.05.31,2423.01,13.98,0.58%,763555,11704977
2018.06.01,2438.96,15.95,0.66%,596231,8620941
2018.06.04,2447.76,8.8,0.36%,433245,7560864
2018.06.05,2453.76,6,0.25%,485339,6918184
2018.06.07,2470.58,16.82,0.69%,466498,7871013
2018.06.08,2451.58,19,-0.77%,510912,7199163
2018.06.11,2470.15,18.57,0.76%,414291,6812991
2018.06.12,2468.83,1.32,-0.05%,601581,9401666
2018.06.14,2423.48,45.35,-1.84%,524315,9453450
2018.06.15,2404.04,19.44,-0.80%,494944,8930106
2018.06.18,2376.24,27.8,-1.16%,558944,8466870
2018.06.19,2340.11,36.13,-1.52%,600425,7898320
2018.06.20,2363.91,23.8,1.02%,446636,6801341
2018.06.21,2337.83,26.08,-1.10%,430173,6678939
2018.06.22,2357.22,19.39,0.83%,531047,6516521
2018.06.25,2357.88,0.66,0.03%,407061,5558536
2018.06.26,2350.92,6.96,-0.30%,460975,6330085
2018.06.27,2342.03,8.89,-0.38%,517028,6793368
2018.06.28,2314.24,27.79,-1.19%,403750,5573724
2018.06.29,2326.13,11.89,0.51%,389705,6152227
2018.07.02,2271.54,54.59,-2.35%,387807,5894182
2018.07.03,2272.76,1.22,0.05%,360738,5874341
2018.07.04,2265.46,7.3,-0.32%,310960,4772554
2018.07.05,2257.55,7.91,-0.35%,342616,5061366
2018.07.06,2272.87,15.32,0.68%,340894,6280405
2018.07.09,2285.8,12.93,0.57%,349047,5746739
2018.07.10,2294.16,8.36,0.37%,329363,4769153
2018.07.11,2280.62,13.54,-0.59%,412423,5372306
2018.07.12,2285.06,4.44,0.19%,353267,5974081
2018.07.13,2310.9,25.84,1.13%,286351,6388189
2018.07.16,2301.99,8.91,-0.39%,293260,4893528
2018.07.17,2297.92,4.07,-0.18%,365351,4696497
2018.07.18,2290.11,7.81,-0.34%,395774,4838320
2018.07.19,2282.29,7.82,-0.34%,458752,5346881
2018.07.20,2289.19,6.9,0.30%,346880,4839036
2018.07.23,2269.31,19.88,-0.87%,328884,5403786
2018.07.24,2280.2,10.89,0.48%,429445,5724308
2018.07.25,2273.03,7.17,-0.31%,305498,6021916
2018.07.26,2289.06,16.03,0.71%,295319,6111409
2018.07.27,2294.99,5.93,0.26%,259165,5030207
2018.07.30,2293.51,1.48,-0.06%,202744,4430844
2018.07.31,2295.26,1.75,0.08%,217651,4793619
2018.08.01,2307.07,11.81,0.51%,214465,4706755
2018.08.02,2270.2,36.87,-1.60%,347908,4931127
2018.08.03,2287.68,17.48,0.77%,265613,4128426
2018.08.06,2286.5,1.18,-0.05%,241153,4520090
2018.08.07,2300.16,13.66,0.60%,225706,4612890
2018.08.08,2301.45,1.29,0.06%,288039,5037618
2018.08.09,2303.71,2.26,0.10%,238149,5838088
2018.08.10,2282.79,20.92,-0.91%,279626,6102094
2018.08.13,2248.45,34.34,-1.50%,330544,5853917
2018.08.14,2258.91,10.46,0.47%,250633,4755714
2018.08.16,2240.8,18.11,-0.80%,309355,5928768
2018.08.17,2247.05,6.25,0.28%,231926,4479386
2018.08.20,2247.88,0.83,0.04%,267698,4309835
2018.08.21,2270.06,22.18,0.99%,290503,5093280
2018.08.22,2273.33,3.27,0.14%,263612,5054348
2018.08.23,2282.6,9.27,0.41%,333136,5159309
2018.08.24,2293.21,10.61,0.46%,340999,5052457
2018.08.27,2299.3,6.09,0.27%,300061,5666862
2018.08.28,2303.12,3.82,0.17%,273217,5400107
2018.08.29,2309.03,5.91,0.26%,252045,4268657
2018.08.30,2307.35,1.68,-0.07%,281989,5137978
2018.08.31,2322.88,15.53,0.67%,240587,5217226
2018.09.03,2307.03,15.85,-0.68%,227122,3980380
2018.09.04,2315.72,8.69,0.38%,271789,4473989
2018.09.05,2291.77,23.95,-1.03%,352026,5220209
2018.09.06,2287.61,4.16,-0.18%,381008,5529698
2018.09.07,2281.58,6.03,-0.26%,351603,6094318
2018.09.10,2288.66,7.08,0.31%,304918,5398671
2018.09.11,2283.2,5.46,-0.24%,361475,5705258
2018.09.12,2282.92,0.28,-0.01%,331036,6278639
2018.09.13,2286.23,3.31,0.14%,295216,6391076
2018.09.14,2318.25,32.02,1.40%,283774,5489272
2018.09.17,2303.01,15.24,-0.66%,339317,4942568
2018.09.18,2308.98,5.97,0.26%,301522,5515636
2018.09.19,2308.46,0.52,-0.02%,341743,5930314
2018.09.20,2323.45,14.99,0.65%,283961,6329710
2018.09.21,2339.17,15.72,0.68%,306545,7063404
2018.09.27,2355.43,16.26,0.70%,273887,7125463
2018.09.28,2343.07,12.36,-0.52%,311831,6927622
2018.10.01,2338.88,4.19,-0.18%,272609,5427373
2018.10.02,2309.57,29.31,-1.25%,281425,6193909
2018.10.04,2274.49,35.08,-1.52%,304578,7461319
2018.10.05,2267.52,6.97,-0.31%,276748,6175883
2018.10.08,2253.83,13.69,-0.60%,209984,4362204
2018.10.10,2228.61,25.22,-1.12%,348867,6313102
2018.10.11,2129.67,98.94,-4.44%,404316,8196792
2018.10.12,2161.85,32.18,1.51%,288607,5965646
2018.10.15,2145.12,16.73,-0.77%,255858,4612077
2018.10.16,2145.12,0,0.00%,215108,3815383
2018.10.17,2167.51,22.39,1.04%,266401,4642949
2018.10.18,2148.31,19.2,-0.89%,316734,4155099
2018.10.19,2156.26,7.95,0.37%,343657,4722913
2018.10.22,2161.71,5.45,0.25%,303503,3836728
2018.10.23,2106.1,55.61,-2.57%,363224,5856461
2018.10.24,2097.58,8.52,-0.40%,392945,6309715
2018.10.25,2063.3,34.28,-1.63%,364818,7258359
2018.10.26,2027.15,36.15,-1.75%,436042,6484528
2018.10.29,1996.05,31.1,-1.53%,416016,6134427
2018.10.30,2014.69,18.64,0.93%,434359,6907770
2018.10.31,2029.69,15,0.74%,366579,6226668
2018.11.01,2024.46,5.23,-0.26%,337981,5838824
2018.11.02,2096,71.54,3.53%,364081,6635295
2018.11.05,2076.92,19.08,-0.91%,353462,4830435
2018.11.06,2089.62,12.7,0.61%,307933,5007974
2018.11.07,2078.69,10.93,-0.52%,471029,6247377
2018.11.08,2092.63,13.94,0.67%,322591,5869615
2018.11.09,2086.09,6.54,-0.31%,292935,5153125
2018.11.12,2080.44,5.65,-0.27%,291483,5445340
2018.11.13,2071.23,9.21,-0.44%,376813,5619103
2018.11.14,2068.05,3.18,-0.15%,332675,5421114
2018.11.15,2088.06,20.01,0.97%,346712,4632958
2018.11.16,2092.4,4.34,0.21%,294134,4693924
2018.11.19,2100.56,8.16,0.39%,268926,4609680
2018.11.20,2082.58,17.98,-0.86%,274836,4800201
2018.11.21,2076.55,6.03,-0.29%,262007,4959579
2018.11.22,2069.95,6.6,-0.32%,237048,3979713
2018.11.23,2057.48,12.47,-0.60%,221467,3692234
2018.11.26,2083.02,25.54,1.24%,231575,4333640
2018.11.27,2099.42,16.4,0.79%,235145,4413843
2018.11.28,2108.22,8.8,0.42%,274540,4590460
2018.11.29,2114.1,5.88,0.28%,300493,5115843
2018.11.30,2096.86,17.24,-0.82%,413390,6923913
2018.12.03,2131.93,35.07,1.67%,428908,5431269
2018.12.04,2114.35,17.58,-0.82%,498735,5428831
2018.12.05,2101.31,13.04,-0.62%,484114,4660341
2018.12.06,2068.69,32.62,-1.55%,528193,5442143
2018.12.07,2075.76,7.07,0.34%,363007,4220996
2018.12.10,2053.79,21.97,-1.06%,335952,4526625
2018.12.11,2052.97,0.82,-0.04%,267011,4911710
2018.12.12,2082.57,29.6,1.44%,439402,5297463
2018.12.13,2095.55,12.98,0.62%,368200,7562750
2018.12.14,2069.38,26.17,-1.25%,439541,5583989
2018.12.17,2071.09,1.71,0.08%,438220,4630980
2018.12.18,2062.11,8.98,-0.43%,423880,5147666
2018.12.19,2078.84,16.73,0.81%,412554,5022718
2018.12.20,2060.12,18.72,-0.90%,412812,5320912
2018.12.21,2061.49,1.37,0.07%,304921,5389566
2018.12.24,2055.01,6.48,-0.31%,280638,3791538
2018.12.26,2028.01,27,-1.31%,314188,5336856
2018.12.27,2028.44,0.43,0.02%,390094,5281844
2018.12.28,2041.04,12.6,0.62%,347842,4058850
2019.01.02,2010,31.04,-1.52%,321760,4235198
2019.01.03,1993.7,16.3,-0.81%,424198,5318912
2019.01.04,2010.25,16.55,0.83%,403264,5401591
